record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,1,1,1,101,1,14220,73560,SN16,SN16,SN16,1,Bus
10,1,1,2,101,2,14520,73500,SN16,SN16,SN16,2,Bus
10,1,1,3,101,3,19620,95940,SN16,SN16,SN16,3,Bus
10,1,1,4,101,4,34920,92220,SN16,SN16,SN16,4,Bus
10,1,1,5,102,5,14700,77880,SN16,SN16,SN16,5,Bus
10,1,1,6,102,6,16020,68520,SN16,SN16,SN16,6,Bus
10,1,1,7,102,7,21840,68100,SN16,SN16,SN16,7,Bus
10,1,1,8,102,8,24300,80580,SN16,SN16,SN16,8,Bus
10,1,1,9,102,9,41580,94140,SN16,SN16,SN16,9,Bus
10,1,1,10,102,10,78120,92760,SN16,SN16,SN16,10,Bus
10,1,1,11,103,11,1680,33240,SN19,SN19,SN19,11,Bus
10,1,1,12,103,12,5280,41340,SN19,SN19,SN19,12,Bus
10,1,1,13,103,13,16440,67800,SN19,SN19,SN19,13,Bus
10,1,1,14,103,14,18300,68280,SN19,SN19,SN19,14,Bus
10,1,1,15,103,15,18840,80640,SN19,SN19,SN19,15,Bus
10,1,1,16,103,16,22980,71880,SN19,SN19,SN19,16,Bus
10,1,1,17,103,17,34260,63120,SN19,SN19,SN19,17,Bus
10,1,1,18,103,18,64680,85320,SN19,SN19,SN19,18,Bus
10,1,1,19,103,19,73680,91320,SN19,SN19,SN19,19,Bus
10,1,1,20,103,20,82740,87780,SN19,SN19,SN19,20,Bus
10,1,1,21,103,21,35040,88680,SN19,SN19,SN19,21,Bus
10,1,1,22,103,22,43020,91260,SN19,SN19,SN19,22,Bus
10,1,1,23,103,23,67380,84420,SN19,SN19,SN19,23,Bus
10,1,1,24,104,24,15300,89760,SN19,SN19,SN19,24,Bus
10,1,1,25,104,25,18120,79080,SN19,SN19,SN19,25,Bus
10,1,1,26,104,26,21720,78000,SN19,SN19,SN19,26,Bus
10,1,1,27,104,27,34080,93900,SN19,SN19,SN19,27,Bus
10,1,1,28,105,28,11340,88620,SN16,SN16,SN16,28,Bus
10,1,1,29,105,29,18360,85140,SN16,SN16,SN16,29,Bus
10,1,1,30,106,30,15420,91500,SN16,SN16,SN16,30,Bus
10,1,1,31,106,31,16620,86700,SN16,SN16,SN16,31,Bus
10,1,1,32,106,32,17280,72960,SN16,SN16,SN16,32,Bus
10,1,1,33,106,33,20640,89700,SN16,SN16,SN16,33,Bus
10,1,1,34,106,34,22500,74100,SN16,SN16,SN16,34,Bus
10,1,1,35,106,35,17280,80820,SN16,SN16,SN16,35,Bus
10,1,1,36,106,36,21840,84780,SN16,SN16,SN16,36,Bus
10,1,1,37,108,37,15120,98220,SN19,SN19,SN19,37,Bus
10,1,1,38,108,38,15300,82740,SN19,SN19,SN19,38,Bus
10,1,1,39,108,39,23640,92820,SN19,SN19,SN19,39,Bus
10,1,1,40,108,40,25320,84480,SN19,SN19,SN19,40,Bus
10,1,1,41,109,41,7020,82680,SN19,SN19,SN19,41,Bus
10,1,1,42,109,42,8820,71280,SN19,SN19,SN19,42,Bus
10,1,1,43,109,43,10620,70920,SN19,SN19,SN19,43,Bus
10,1,1,44,109,44,12420,87840,SN19,SN19,SN19,44,Bus
10,1,1,45,109,45,14220,82140,SN19,SN19,SN19,45,Bus
10,1,1,46,109,46,16020,92280,SN19,SN19,SN19,46,Bus
