record type,bus stop id,bus stop short name,bus stop long name,longitude,latitude
90,3,SN3,NB D after Alexander,-115.147338,36.193992
90,6,SN6,SB D after Frederick,-115.147489,36.192131
90,9,SN9,SB D after Kasper,-115.147512,36.194894
90,10,SN10,NB D after Madison,-115.146999,36.184298
90,11,SN11,SB D after Monroe,-115.147156,36.184607
90,12,SN12,NB D before Owens,-115.147154,36.188311
90,13,SN13,SB D after Owens,-115.147288,36.188244
90,14,SN14,NB D before Paul,-115.147273,36.190482
90,17,SN17,NB H after Bonanza,-115.151745,36.17789
90,18,SN18,NB H after Byrnes,-115.151742,36.192243
90,21,SN21,SB H after Lake Mead,-115.152018,36.195388
90,23,SN23,SB H after McWilliams,-115.152018,36.17889
90,24,SN24,SB H before Monroe,-115.151982,36.185191
90,25,SN25,NB H after Monroe,-115.151788,36.185468
90,28,SN28,NB H before Harrison,-115.151839,36.187723
90,29,SN29,SB H after Owens,-115.152057,36.187959
90,30,SN30,NB H after Washington,-115.151748,36.181027
90,31,SN31,SB H after Washington,-115.151941,36.180382
90,34,SN34,NB 4th at Fremont Street Experience,-115.141989,36.169247
90,35,SN35,NB 4th after Bonneville,-115.145195,36.164434
90,36,SN36,NB 4th after Lewis,-115.143559,36.166877
90,39,SN39,EB Adams after Buchanan,-114.843729,35.96831
90,40,SN40,EB Adams after Avenue B,-114.836638,35.968609
90,41,SN41,EB Adams after Georgia,-114.8308,35.968919
90,42,SN42,EB Adams after San Felipe,-114.82686,35.96913
90,50,SN50,WB Alta after Altamira,-115.25647,36.166601
90,52,SN52,WB Alta after Antelope,-115.25174,36.166598
90,55,SN55,EB Alta after Brush,-115.209335,36.165968
90,56,SN56,WB Alta before Campbell,-115.182689,36.166329
90,57,SN57,EB Alta before Campbell,-115.183624,36.166218
90,61,SN61,WB Alta after Cimarron,-115.270496,36.166509
90,63,SN63,WB Alta after Decatur,-115.206759,36.166616
90,67,SN67,WB Alta after Falcon,-115.216066,36.166091
90,68,SN68,EB Bonneville after Grand Central,-115.154545,36.16665
90,69,SN69,WB Bonneville after Grand Central,-115.156544,36.16665
90,70,SN70,WB Alta after Hussey,-115.229099,36.166477
90,71,SN71,WB Alta before Brush,-115.20913,36.166106
90,72,SN72,EB Alta after Jones,-115.223137,36.166295
90,73,SN73,WB Alta after Jones,-115.224587,36.16647
90,76,SN76,EB Alta after Lindy,-115.236674,36.166338
90,78,SN78,EB Bonneville after Martin L King,-115.160139,36.166154
90,81,SN81,EB Alta after Rainbow,-115.243415,36.166363
90,82,SN82,WB Alta after Rainbow,-115.245119,36.166568
90,83,SN83,EB Alta after Rancho,-115.171846,36.166077
90,84,SN84,WB Alta after Rancho,-115.174276,36.166216
90,85,SN85,WB Alta after Roland Wiley,-115.27388,36.16651
90,86,SN86,WB Alta after Buffalo,-115.262007,36.16664
90,92,SN92,EB Alta after Slayton,-115.226689,36.166304
90,95,SN95,EB Alta after Torrey Pines,-115.232454,36.166328
90,96,SN96,WB Alta after Torrey Pines,-115.233697,36.166518
90,97,SN97,EB Alta after Upland,-115.216989,36.165939
90,98,SN98,EB Alta after Valley View,-115.191447,36.166155
90,100,SN100,WB Alta before Vassar,-115.239958,36.166538
90,101,SN101,EB Alta after Lorenzi,-115.240177,36.166354
90,102,SN102,WB Alta after Villa Monterrey,-115.265077,36.166609
90,109,SN109,WB Ann after Jones,-115.226239,36.261276
90,110,SN110,WB Ann before Copper Harbor,-115.230874,36.261861
90,114,SN114,WB Arizona at California,-114.83457,35.978319
90,158,SN158,WB Bonanza after D,-115.147628,36.177362
90,159,SN159,EB Bonanza after City Parkway,-115.148499,36.177172
90,160,SN160,EB Bonanza before H,-115.152244,36.177083
90,161,SN161,WB Bonanza after H,-115.153016,36.177244
90,162,SN162,EB Bonanza after Martin L King,-115.156164,36.177052
90,163,SN163,WB Bonanza after H,-115.155555,36.177222
90,165,SN165,EB Bonanza after 23rd,-115.118217,36.173859
90,166,SN166,EB Bonanza after 9th,-115.13312,36.17396
90,167,SN167,WB Bonanza before Las Vegas,-115.135858,36.174455
90,168,SN168,WB Bonanza after Lillian,-115.066877,36.17404
90,171,SN171,EB Bonanza after Bruce,-115.124363,36.173871
90,172,SN172,WB Bonanza after Bruce,-115.125617,36.174137
90,174,SN174,EB Bonanza after Clarkway,-115.166571,36.177078
90,177,SN177,WB Bonanza before Christy,-115.052221,36.174233
90,178,SN178,WB Bonanza before Dike,-115.17324,36.177259
90,179,SN179,EB Bonanza after Eastern,-115.115238,36.173797
90,180,SN180,WB Bonanza after Eastern,-115.116707,36.17413
90,184,SN184,EB Bonanza after Honolulu,-115.092321,36.173376
90,185,SN185,WB Bonanza before Pecos,-115.092964,36.173594
90,188,SN188,EB Bonanza after Las Vegas,-115.135321,36.17405
90,190,SN190,EB Bonanza after Lamb,-115.079524,36.17339
90,191,SN191,WB Bonanza after Lamb,-115.081208,36.17361
90,192,SN192,EB Bonanza before Lillian,-115.064826,36.173856
90,194,SN194,WB Bonanza after Linn,-115.049299,36.17437
90,195,SN195,EB Bonanza after Martin L King,-115.159496,36.177024
90,196,SN196,WB Bonanza after Sunny,-115.162145,36.177204
