record type,place id,place name,place description,at street abbr,on street abbr,district name,place type
4,12,SN12,NB D before Owens,AtStreetAbbr12,OnStreetAbbr12,DistrictName12,0
4,13,SN13,SB D after Owens,AtStreetAbbr13,OnStreetAbbr13,DistrictName13,0
4,21,SN21,SB H after Lake Mead,AtStreetAbbr21,OnStreetAbbr21,DistrictName21,0
4,30,SN30,NB H after Washington,AtStreetAbbr30,OnStreetAbbr30,DistrictName30,0
4,31,SN31,SB H after Washington,AtStreetAbbr31,OnStreetAbbr31,DistrictName31,0
4,63,SN63,WB Alta after Decatur,AtStreetAbbr63,OnStreetAbbr63,DistrictName63,0
4,81,SN81,EB Alta after Rainbow,AtStreetAbbr81,OnStreetAbbr81,DistrictName81,0
4,82,SN82,WB Alta after Rainbow,AtStreetAbbr82,OnStreetAbbr82,DistrictName82,0
4,83,SN83,EB Alta after Rancho,AtStreetAbbr83,OnStreetAbbr83,DistrictName83,0
4,84,SN84,WB Alta after Rancho,AtStreetAbbr84,OnStreetAbbr84,DistrictName84,0
4,167,SN167,WB Bonanza before Las Vegas,AtStreetAbbr167,OnStreetAbbr167,DistrictName167,0
4,179,SN179,EB Bonanza after Eastern,AtStreetAbbr179,OnStreetAbbr179,DistrictName179,0
4,180,SN180,WB Bonanza after Eastern,AtStreetAbbr180,OnStreetAbbr180,DistrictName180,0
4,188,SN188,EB Bonanza after Las Vegas,AtStreetAbbr188,OnStreetAbbr188,DistrictName188,0
4,190,SN190,EB Bonanza after Lamb,AtStreetAbbr190,OnStreetAbbr190,DistrictName190,0
4,191,SN191,WB Bonanza after Lamb,AtStreetAbbr191,OnStreetAbbr191,DistrictName191,0
4,195,SN195,EB Bonanza after Martin L King,AtStreetAbbr195,OnStreetAbbr195,DistrictName195,0
4,196,SN196,WB Bonanza after Sunny,AtStreetAbbr196,OnStreetAbbr196,DistrictName196,0
4,210,SN210,WB Bonanza after Nellis,AtStreetAbbr210,OnStreetAbbr210,DistrictName210,0
4,242,SN242,Railroad Pass On Property Stop,AtStreetAbbr242,OnStreetAbbr242,DistrictName242,0
4,260,SN260,NB Boulder after Flamingo,AtStreetAbbr260,OnStreetAbbr260,DistrictName260,0
4,267,SN267,SB Boulder after Greenway,AtStreetAbbr267,OnStreetAbbr267,DistrictName267,0
4,270,SN270,SB Boulder after Harmon,AtStreetAbbr270,OnStreetAbbr270,DistrictName270,0
4,276,SN276,NB Boulder after Lake Mead,AtStreetAbbr276,OnStreetAbbr276,DistrictName276,0
4,278,SN278,NB Boulder after Lamb,AtStreetAbbr278,OnStreetAbbr278,DistrictName278,0
4,292,SN292,SB Boulder after Nellis,AtStreetAbbr292,OnStreetAbbr292,DistrictName292,0
4,297,SN297,NB Boulder after Palo Verde,AtStreetAbbr297,OnStreetAbbr297,DistrictName297,0
4,303,SN303,SB Boulder after Russell,AtStreetAbbr303,OnStreetAbbr303,DistrictName303,0
4,312,SN312,SB Boulder after Texas,AtStreetAbbr312,OnStreetAbbr312,DistrictName312,0
4,313,SN313,NB Boulder Hwy after Texas,AtStreetAbbr313,OnStreetAbbr313,DistrictName313,0
4,314,SN314,NB Boulder after Tropicana,AtStreetAbbr314,OnStreetAbbr314,DistrictName314,0
4,339,SN339,SB Buchanan after Boulder City Pkwy,AtStreetAbbr339,OnStreetAbbr339,DistrictName339,0
4,363,SN363,NB Camino Eldorado after Ann,AtStreetAbbr363,OnStreetAbbr363,DistrictName363,0
4,372,SN372,EB Carey after Civic Center,AtStreetAbbr372,OnStreetAbbr372,DistrictName372,0
4,400,SN400,WB Carey after Martin L King,AtStreetAbbr400,OnStreetAbbr400,DistrictName400,0
4,443,SN443,WB Warm Springs before Center,AtStreetAbbr443,OnStreetAbbr443,DistrictName443,0
4,473,SN473,EB Charleston after Decatur,AtStreetAbbr473,OnStreetAbbr473,DistrictName473,0
4,474,SN474,WB Charleston after Decatur,AtStreetAbbr474,OnStreetAbbr474,DistrictName474,0
4,497,SN497,EB Charleston after Maryland,AtStreetAbbr497,OnStreetAbbr497,DistrictName497,0
4,498,SN498,WB Charleston after Maryland,AtStreetAbbr498,OnStreetAbbr498,DistrictName498,0
4,503,SN503,EB Charleston after Nellis,AtStreetAbbr503,OnStreetAbbr503,DistrictName503,0
4,504,SN504,WB Charleston after Nellis,AtStreetAbbr504,OnStreetAbbr504,DistrictName504,0
4,508,SN508,EB Charleston after Palm,AtStreetAbbr508,OnStreetAbbr508,DistrictName508,0
4,512,SN512,WB Charleston after Pecos,AtStreetAbbr512,OnStreetAbbr512,DistrictName512,0
4,515,SN515,EB Charleston after Rainbow,AtStreetAbbr515,OnStreetAbbr515,DistrictName515,0
4,516,SN516,WB Charleston after Rainbow,AtStreetAbbr516,OnStreetAbbr516,DistrictName516,0
4,517,SN517,EB Charleston after Rancho,AtStreetAbbr517,OnStreetAbbr517,DistrictName517,0
4,518,SN518,WB Charleston after Rancho,AtStreetAbbr518,OnStreetAbbr518,DistrictName518,0
4,556,SN556,EB Cheyenne after Civic Center,AtStreetAbbr556,OnStreetAbbr556,DistrictName556,0
4,567,SN567,EB Cheyenne after Jones,AtStreetAbbr567,OnStreetAbbr567,DistrictName567,0
4,573,SN573,EB Cheyenne after Las Vegas,AtStreetAbbr573,OnStreetAbbr573,DistrictName573,0
4,575,SN575,EB Cheyenne after Martin L King,AtStreetAbbr575,OnStreetAbbr575,DistrictName575,0
4,576,SN576,WB Cheyenne after Martin L King,AtStreetAbbr576,OnStreetAbbr576,DistrictName576,0
4,577,SN577,WB Cheyenne after Mary Dee,AtStreetAbbr577,OnStreetAbbr577,DistrictName577,0
4,585,SN585,WB Cheyenne after Nellis,AtStreetAbbr585,OnStreetAbbr585,DistrictName585,0
4,588,SN588,EB Cheyenne after Rainbow,AtStreetAbbr588,OnStreetAbbr588,DistrictName588,0
