place name,place description,longitude,latitude
SN12,NB D before Owens,-115.147154,36.188311
SN13,SB D after Owens,-115.147288,36.188244
SN21,SB H after Lake Mead,-115.152018,36.195388
SN30,NB H after Washington,-115.151748,36.181027
SN31,SB H after Washington,-115.151941,36.180382
SN63,WB Alta after Decatur,-115.206759,36.166616
SN81,EB Alta after Rainbow,-115.243415,36.166363
SN82,WB Alta after Rainbow,-115.245119,36.166568
SN83,EB Alta after Rancho,-115.171846,36.166077
SN84,WB Alta after Rancho,-115.174276,36.166216
SN167,WB Bonanza before Las Vegas,-115.135858,36.174455
SN179,EB Bonanza after Eastern,-115.115238,36.173797
SN180,WB Bonanza after Eastern,-115.116707,36.17413
SN188,EB Bonanza after Las Vegas,-115.135321,36.17405
SN190,EB Bonanza after Lamb,-115.079524,36.17339
SN191,WB Bonanza after Lamb,-115.081208,36.17361
SN195,EB Bonanza after Martin L King,-115.159496,36.177024
SN196,WB Bonanza after Sunny,-115.162145,36.177204
SN210,WB Bonanza after Nellis,-115.064065,36.174106
SN242,Railroad Pass On Property Stop,-114.911989,35.972099
SN260,NB Boulder after Flamingo,-115.067173,36.115577
SN267,SB Boulder after Greenway,-114.964467,36.023658
SN270,SB Boulder after Harmon,-115.058858,36.107583
SN276,NB Boulder after Lake Mead,-114.982682,36.040496
SN278,NB Boulder after Lamb,-115.084147,36.130638
SN292,SB Boulder after Nellis,-115.064129,36.112263
SN297,NB Boulder after Palo Verde,-114.965796,36.025463
SN303,SB Boulder after Russell,-115.032256,36.08393
SN312,SB Boulder after Texas,-114.977556,36.035267
SN313,NB Boulder Hwy after Texas,-114.979766,36.037862
SN314,NB Boulder after Tropicana,-115.051156,36.101344
SN339,SB Buchanan after Boulder City Pkwy,-114.845788,35.97356
SN363,NB Camino Eldorado after Ann,-115.15698,36.261786
SN372,EB Carey after Civic Center,-115.119523,36.203004
SN400,WB Carey after Martin L King,-115.161702,36.203117
SN443,WB Warm Springs before Center,-114.966306,36.050308
SN473,EB Charleston after Decatur,-115.20473,36.158943
SN474,WB Charleston after Decatur,-115.206551,36.159218
SN497,EB Charleston after Maryland,-115.136234,36.158763
SN498,WB Charleston after Maryland,-115.13779,36.159004
SN503,EB Charleston after Nellis,-115.061301,36.15895
SN504,WB Charleston after Nellis,-115.063968,36.159153
SN508,EB Charleston after Palm,-115.100674,36.158722
SN512,WB Charleston after Pecos,-115.102265,36.158976
SN515,EB Charleston after Rainbow,-115.242706,36.15901
SN516,WB Charleston after Rainbow,-115.244603,36.159235
SN517,EB Charleston after Rancho,-115.172033,36.158762
SN518,WB Charleston after Rancho,-115.173398,36.159007
SN556,EB Cheyenne after Civic Center,-115.11931,36.217522
SN567,EB Cheyenne after Jones,-115.224886,36.216684
SN573,EB Cheyenne after Las Vegas,-115.092598,36.21756
SN575,EB Cheyenne after Martin L King,-115.16062,36.217583
SN576,WB Cheyenne after Martin L King,-115.162727,36.217839
SN577,WB Cheyenne after Mary Dee,-115.11824,36.217766
SN585,WB Cheyenne after Nellis,-115.062955,36.218389
SN588,EB Cheyenne after Rainbow,-115.241509,36.21803
SN589,WB Cheyenne after Rainbow,-115.243038,36.21836
SN591,EB Cheyenne after Rancho,-115.210977,36.217047
SN592,WB Cheyenne after Rancho,-115.21366,36.217197
SN593,WB Cheyenne after Sandy,-115.094366,36.217782
SN595,EB Cheyenne after Simmons,-115.178514,36.217448
SN596,WB Cheyenne after Simmons,-115.18004,36.21774
SN618,SB Civic Center after Basswood,-115.121108,36.216603
SN632,NB Civic Center after Lake Mead,-115.116351,36.196504
SN633,SB Civic Center after Lake Mead,-115.116408,36.194814
SN655,NB Campus at CSN Cheyenne Campus,-115.106982,36.218619
SN674,EB Craig after Lamb,-115.079038,36.240308
SN677,EB Craig before Las Vegas,-115.056551,36.240424
SN690,NB Decatur before Alpine,-115.205705,36.159682
SN691,NB Decatur after Alta,-115.205845,36.167464
SN697,SB Decatur after Charleston,-115.206034,36.158573
SN698,NB Decatur after Cheyenne,-115.207344,36.217872
SN718,NB Decatur after Lake Mead,-115.205799,36.195986
SN719,SB Decatur after Lake Mead,-115.206163,36.194717
SN737,NB Decatur after Sahara,-115.207951,36.145784
SN738,SB Decatur after Sahara,-115.208319,36.143956
SN743,NB Decatur after Spring Mountain,-115.207954,36.126726
SN744,SB Decatur after Spring Mountain,-115.208306,36.125382
SN747,NB Decatur after Tropicana,-115.207778,36.101936
SN754,NB Decatur after Washington,-115.205934,36.181462
SN755,SB Decatur after Washington,-115.206264,36.180144
SN765,NB Lamb after Boulder,-115.083136,36.130644
SN766,WB Desert Inn after Boulder,-115.085164,36.129757
SN775,EB Desert Inn after Eastern,-115.117891,36.12973
SN776,WB Desert Inn after Eastern,-115.119356,36.129952
SN832,NB Eastern after Bonanza,-115.116073,36.174776
SN833,SB Eastern after Bonanza,-115.11629,36.172852
SN837,SB Eastern after Charleston,-115.119054,36.158343
SN842,NB Eastern after Flamingo,-115.119009,36.115688
SN843,SB Eastern after Flamingo,-115.119333,36.11378
SN847,NB Eastern after Fremont,-115.117893,36.160176
SN879,NB Eastern after Sahara,-115.118648,36.145313
SN880,SB Eastern after Sahara,-115.118945,36.143589
SN889,NB Eastern after Sunset,-115.118562,36.072358
SN890,SB Eastern after Sunset,-115.118801,36.07043
SN894,NB Eastern after Tropicana,-115.118832,36.1008
SN895,SB Eastern after Tropicana,-115.119084,36.099028
SN915,NB Englestad after Recco,-115.147603,36.19645
SN933,EB Flamingo after Decatur,-115.207468,36.115328
SN934,WB Flamingo after Decatur,-115.208734,36.115581
SN957,EB Flamingo after Las Vegas,-115.171635,36.114505
SN958,WB Flamingo after Las Vegas,-115.174108,36.114868
SN961,EB Flamingo after Maryland,-115.136057,36.11444
SN962,WB Flamingo after Maryland,-115.139003,36.114731
SN965,WB Flamingo after Nellis,-115.06533,36.115028
SN970,EB Flamingo after Paradise,-115.152793,36.114323
SN971,WB Flamingo after Paradise,-115.15475,36.114435
SN974,EB Flamingo after Pecos,-115.100032,36.115111
SN975,WB Flamingo after Pecos,-115.101617,36.115365
SN978,EB Flamingo after Rainbow,-115.242402,36.114381
SN989,WB Flamingo after Spring Leaf,-115.244036,36.114625
SN1024,WB Fremont after Eastern,-115.119168,36.160082
SN1031,NB Fremont after Sahara,-115.101677,36.146203
SN1069,SB Green Valley after Warm Springs,-115.084061,36.055913
SN1078,EB Harmon after Boulder,-115.05807,36.108748
SN1136,EB Horizon after College,-114.962088,36.012528
SN1137,WB Horizon after College,-114.964922,36.01278
SN1176,NB Jones after Charleston,-115.223793,36.160687
SN1177,SB Jones after Charleston,-115.224115,36.158511
SN1179,SB Jones after Cheyenne,-115.225809,36.216187
SN1203,NB Jones after Lake Mead,-115.223781,36.19642
SN1204,SB Jones after Lake Mead,-115.224018,36.195237
SN1217,NB Jones after Sahara,-115.225154,36.145172
SN1218,SB Jones after Sahara,-115.22543,36.14366
SN1222,NB Jones after Spring Mountain,-115.224819,36.12595
SN1223,SB Jones after Spring Mountain,-115.225075,36.124625
SN1227,NB Jones after Tropicana,-115.224914,36.100788
SN1237,NB Jones after Washington,-115.223764,36.181842
SN1238,SB Jones after Washington,-115.223951,36.180285
SN1257,NB Koval after Tropicana,-115.163784,36.102309
SN1258,SB Koval after Tropicana,-115.163973,36.100262
SN1308,NB Las Vegas after Pecos,-115.098109,36.214782
SN1326,SB Las Vegas before Washington,-115.134167,36.181954
SN1332,NB Las Vegas at the Paris,-115.172729,36.112511
SN1343,SB Las Vegas after Charleston,-115.148276,36.157801
SN1344,SB LV Blvd at Slots-A-Fun/Circ Circ,-115.162774,36.135662
SN1351,SB Las Vegas at Excalibur,-115.173216,36.099836
SN1353,NB Las Vegas at The Wynn,-115.168166,36.126887
SN1354,SB Las Vegas at Fashion Show Mall,-115.168908,36.126454
SN1358,SB LV Blvd at Fremont St Experience,-115.140609,36.16953
SN1363,NB Las Vegas at Luxor/Mandalay Bay,-115.172669,36.094582
SN1364,SB Las Vegas at Mandalay Bay,-115.173152,36.092973
SN1371,NB Las Vegas at MGM/Showcase Mall,-115.172671,36.102653
SN1375,SB Las Vegas at Luxor,-115.173175,36.094748
SN1391,NB Las Vegas after Sahara,-115.156746,36.144327
SN1409,NB Las Vegas after Wigwam,-115.172186,36.03667
SN1410,SB Las Vegas before Wigwam,-115.17255,36.036147
SN1444,EB Lake Mead after Decatur,-115.205068,36.195418
SN1445,WB Lake Mead after Decatur,-115.206758,36.195596
SN1458,EB Lake Mead after Las Vegas,-115.128618,36.195639
SN1459,WB Lake Mead after Las Vegas,-115.129378,36.196018
SN1473,EB Lake Mead after Martin L King,-115.1598,36.19557
SN1474,WB Lake Mead after Martin L King,-115.16154,36.195855
SN1486,EB Lake Mead after Nellis,-115.061625,36.196124
SN1487,WB Lake Mead after Nellis,-115.06275,36.196349
SN1491,EB Lake Mead after Pecos,-115.097258,36.195639
SN1492,WB Lake Mead after Pecos,-115.0992,36.195987
SN1496,WB Lake Mead after Radwick,-115.022238,36.196176
SN1497,WB Lake Mead before Rainbow,-115.240536,36.196079
SN1498,EB Lake Mead after Rainbow,-115.240899,36.195859
SN1530,EB Lake Mead after Boulder,-114.980985,36.040121
SN1563,NB Lamb after Charleston,-115.080107,36.159647
SN1564,SB Lamb after Charleston,-115.080356,36.158451
SN1571,NB Lamb after Craig,-115.079824,36.241647
SN1572,SB Lamb after Craig,-115.080152,36.239798
SN1586,NB Lamb after Lake Mead,-115.08,36.19631
SN1587,SB Lamb before Lake Mead,-115.080283,36.196533
SN1618,WB Lone Mountain after Rancho,-115.241129,36.247885
SN1649,NB Martin L King after Cheyenne,-115.161095,36.218724
SN1650,SB Martin L King after Cheyenne,-115.161392,36.217009
SN1651,NB Camino Al Norte after Craig,-115.161833,36.240088
SN1652,SB Martin L King after Craig,-115.162165,36.238599
SN1661,NB Martin L King after Lake Mead,-115.160636,36.196237
SN1662,SB Martin L King after Lake Mead,-115.160994,36.194696
SN1675,NB Martin L King after Washington,-115.160715,36.181537
SN1676,SB Martin L King after Washington,-115.16104,36.179894
SN1685,SB Main after Bridger,-115.148194,36.169076
SN1718,NB Maryland after Bonanza,-115.13041,36.17468
SN1719,SB Maryland after Bonanza,-115.13078,36.173617
SN1726,NB Maryland before Charleston,-115.136811,36.158141
SN1727,SB Maryland after Charleston,-115.137071,36.158173
SN1732,SB Maryland after Desert Inn,-115.137094,36.128897
SN1733,NB Maryland after Flamingo,-115.137684,36.115406
SN1735,SB Maryland after Flamingo,-115.137948,36.113688
SN1763,NB Maryland after Sahara,-115.1369,36.144903
SN1764,SB Maryland after Sahara,-115.13706,36.143044
SN1766,NB Maryland before Desert Inn,-115.136805,36.1291
SN1774,NB Maryland before Tropicana,-115.136732,36.100458
SN1775,SB Maryland after Tropicana,-115.137072,36.099884
SN1776,NB Maryland after Twain,-115.137218,36.122648
SN1785,McCarran Airprt Zero Lvl On Proprty,-115.147959,36.085359
SN1793,NB McLeod after Sahara,-115.10983,36.144739
