record type,booking id,service type,division name,run id,run pieces,run name,block number,piece number,start place,end place,sign on time of piece,start time of piece,end time of piece,clear time of piece,special trip option id,op days
50,1,2,,1000,1,1000,,,,,,,,,,
51,1,2,,1000,,,111303,1,SN16,SN20016,197,197,831,831,,
50,1,2,,1001,1,1001,,,,,,,,,,
51,1,2,,1001,,,111502,1,SN16,SN677,205,205,711,711,,
50,1,2,,1002,1,1002,,,,,,,,,,
51,1,2,,1002,,,112001,1,SN16,SN6542,224,224,681,681,,
50,1,2,,1003,1,1003,,,,,,,,,,
51,1,2,,1003,,,111104,1,SN16,SN6775,228,228,765,765,,
50,1,2,SIMM FX,1004,1,1004,,,,,,,,,,
51,1,2,SIMM FX,1004,,,121801,1,SN16,SN3872,235,235,738,738,,
50,1,2,,1005,1,1005,,,,,,,,,,
51,1,2,,1005,,,111504,1,SN16,SN677,241,241,848,848,,
50,1,2,,1006,1,1006,,,,,,,,,,
51,1,2,,1006,,,111305,1,SN16,SN20016,252,252,634,634,,
50,1,2,,1007,1,1007,,,,,,,,,,
51,1,2,,1007,,,120305,1,SN16,SN5943,259,259,721,721,,
50,1,2,,1008,1,1008,,,,,,,,,,
51,1,2,,1008,,,120606,1,SN16,SN6479,262,262,887,887,,
50,1,2,,1009,1,1009,,,,,,,,,,
51,1,2,,1009,,,111011,1,SN16,SN655,261,261,738,738,,
50,1,2,,1010,1,1010,,,,,,,,,,
51,1,2,,1010,,,120607,1,SN16,SN3692,263,263,873,873,,
50,1,2,,1011,1,1011,,,,,,,,,,
51,1,2,,1011,,,120306,1,SN16,SN1571,269,269,738,738,,
50,1,2,,1012,1,1012,,,,,,,,,,
51,1,2,,1012,,,121004,1,SN16,SN1496,274,274,740,740,,
50,1,2,,1013,1,1013,,,,,,,,,,
51,1,2,,1013,,,121006,1,SN16,SN1496,284,284,865,865,,
50,1,2,,1014,1,1014,,,,,,,,,,
51,1,2,,1014,,,120308,1,SN16,SN1571,290,290,897,897,,
50,1,2,,1015,1,1015,,,,,,,,,,
51,1,2,,1015,,,111005,1,SN16,SN655,294,294,677,677,,
50,1,2,,1016,1,1016,,,,,,,,,,
51,1,2,,1016,,,120622,1,SN16,SN3692,311,311,933,933,,
50,1,2,,1017,1,1017,,,,,,,,,,
51,1,2,,1017,,,110505,1,SN16,SN20015,310,310,749,749,,
50,1,2,,1018,1,1018,,,,,,,,,,
51,1,2,,1018,,,112103,1,SN16,SN6542,312,312,711,711,,
50,1,2,,1019,1,1019,,,,,,,,,,
51,1,2,,1019,,,120612,1,SN16,SN516,352,352,779,779,,
50,1,2,,1020,1,1020,,,,,,,,,,
51,1,2,,1020,,,190402,1,SN16,SN20015,359,359,809,809,,
50,1,2,,1021,1,1021,,,,,,,,,,
51,1,2,,1021,,,111109,1,SN16,SN16,629,629,1155,1155,,
50,1,2,,1022,1,1022,,,,,,,,,,
51,1,2,,1022,,,111305,1,SN6228,SN16,651,651,1124,1124,,
50,1,2,,1023,1,1023,,,,,,,,,,
51,1,2,,1023,,,120621,1,SN16,SN3692,649,649,1186,1186,,
50,1,2,,1024,1,1024,,,,,,,,,,
51,1,2,,1024,,,120314,1,SN16,SN16,653,653,1179,1179,,
50,1,2,,1025,1,1025,,,,,,,,,,
51,1,2,,1025,,,120618,1,SN2182,SN16,695,695,1139,1139,,
50,1,2,,1026,1,1026,,,,,,,,,,
51,1,2,,1026,,,111502,1,SN677,SN677,728,728,1104,1104,,
50,1,2,,1027,1,1027,,,,,,,,,,
51,1,2,,1027,,,111011,1,SN655,SN16,751,751,1183,1183,,
50,1,2,,1028,1,1028,,,,,,,,,,
51,1,2,,1028,,,121004,1,SN1496,SN16,759,759,1173,1173,,
50,1,2,,1029,1,1029,,,,,,,,,,
51,1,2,,1029,,,111505,1,SN677,SN16,764,764,1329,1329,,
50,1,2,,1030,1,1030,,,,,,,,,,
51,1,2,,1030,,,111008,1,SN655,SN655,770,770,1182,1182,,
50,1,2,,1031,1,1031,,,,,,,,,,
51,1,2,,1031,,,120803,1,SN6144,SN16,769,769,1175,1175,,
50,1,2,,1032,1,1032,,,,,,,,,,
51,1,2,,1032,,,111503,1,SN677,SN16,784,784,1177,1177,,
50,1,2,,1033,1,1033,,,,,,,,,,
51,1,2,,1033,,,120702,1,SN6549,SN16,782,782,1222,1222,,
50,1,2,,1034,1,1034,,,,,,,,,,
51,1,2,,1034,,,120903,1,SN5885,SN16,798,798,1243,1243,,
50,1,2,,1035,1,1035,,,,,,,,,,
51,1,2,,1035,,,110507,1,SN5474,SN16,831,831,1340,1340,,
50,1,2,,1036,1,1036,,,,,,,,,,
51,1,2,,1036,,,111303,1,SN6228,SN16,846,846,1448,1448,,
50,1,2,,1037,1,1037,,,,,,,,,,
51,1,2,,1037,,,111504,1,SN677,SN16,862,862,1412,1412,,
50,1,2,,1038,1,1038,,,,,,,,,,
51,1,2,,1038,,,121006,1,SN1496,SN16,878,878,1447,1447,,
50,1,2,,1039,1,1039,,,,,,,,,,
51,1,2,,1039,,,120308,1,SN1571,SN16,917,917,1518,1518,,
50,1,2,SIMM FX,1040,1,1040,,,,,,,,,,
51,1,2,SIMM FX,1040,,,121803,1,SN5731,SN16,887,887,1553,1553,,
50,1,2,,1041,1,1041,,,,,,,,,,
51,1,2,,1041,,,120601,1,SN1496,SN16,957,957,1408,1408,,
50,1,2,,1042,1,1042,,,,,,,,,,
51,1,2,,1042,,,110204,1,SN3970,SN16,954,954,1569,1569,,
50,1,2,,1043,1,1043,,,,,,,,,,
51,1,2,,1043,,,111002,1,SN6377,SN16,963,963,1422,1422,,
50,1,2,,1044,1,1044,,,,,,,,,,
51,1,2,,1044,,,112102,1,SN6542,SN16,1110,1110,1567,1567,,
50,1,2,,1045,1,1045,,,,,,,,,,
51,1,2,,1045,,,111306,1,SN6228,SN16,1172,1172,1547,1547,,
50,1,2,,1046,1,1046,,,,,,,,,,
51,1,2,,1046,,,120302,1,SN1571,SN16,1194,1194,1590,1590,,
50,1,2,,1047,1,1047,,,,,,,,,,
51,1,2,,1047,,,120621,1,SN3692,SN16,1204,1204,1661,1661,,
50,1,2,,1048,1,1048,,,,,,,,,,
51,1,2,,1048,,,111106,1,SN5943,SN16,1223,1223,1555,1555,,
50,1,2,,1049,1,1049,,,,,,,,,,
51,1,2,,1049,,,111007,1,SN655,SN16,454,454,1091,1091,,
50,1,2,,1050,1,1050,,,,,,,,,,
51,1,2,,1050,,,120309,1,SN5943,SN16,941,941,1512,1512,,
50,1,2,,1051,1,1051,,,,,,,,,,
51,1,2,,1051,,,120309,1,SN16,SN5943,307,307,923,923,,
50,1,2,,1052,1,1052,,,,,,,,,,
51,1,2,,1052,,,121002,1,SN2770,SN16,717,717,1124,1124,,
50,1,2,,1053,1,1053,,,,,,,,,,
51,1,2,,1053,,,110203,1,SN16,SN3970,319,319,853,853,,
50,1,2,,1054,1,1054,,,,,,,,,,
51,1,2,,1054,,,110203,1,SN3970,SN16,864,864,1298,1298,,
50,1,2,,1055,1,1055,,,,,,,,,,
51,1,2,,1055,,,111306,1,SN6228,SN20016,696,696,1152,1152,,
50,1,2,,1056,1,1056,,,,,,,,,,
51,1,2,,1056,,,111306,1,SN16,SN20016,257,257,681,681,,
50,1,2,,1057,1,1057,,,,,,,,,,
51,1,2,,1057,,,120312,1,SN1571,SN16,731,731,1133,1133,,
50,1,2,,1058,1,1058,,,,,,,,,,
51,1,2,,1058,,,112102,1,SN16,SN6542,240,240,831,831,,
50,1,2,,1059,1,1059,,,,,,,,,,
51,1,2,,1059,,,190402,1,SN6214,SN16,824,824,1433,1433,,
50,1,2,,1060,1,1060,,,,,,,,,,
51,1,2,,1060,,,120614,1,SN2182,SN16,815,815,1165,1165,,
50,1,2,,1061,1,1061,,,,,,,,,,
51,1,2,,1061,,,120614,1,SN16,SN516,372,372,799,799,,
50,1,2,,1062,1,1062,,,,,,,,,,
51,1,2,,1062,,,111103,1,SN3274,SN16,1054,1054,1498,1498,,
50,1,2,,1063,1,1063,,,,,,,,,,
51,1,2,,1063,,,120807,1,SN16,SN3419,362,362,826,826,,
50,1,2,,1064,1,1064,,,,,,,,,,
51,1,2,,1064,,,120807,1,SN3419,SN3419,844,844,1233,1233,,
50,1,2,,1065,1,1065,,,,,,,,,,
51,1,2,,1065,,,120807,1,SN3419,SN16,1251,1251,1602,1602,,
50,1,2,,1066,1,1066,,,,,,,,,,
51,1,2,,1066,,,121801,1,SN3872,SN5731,755,755,1112,1112,,
50,1,2,SIMM FX,1067,1,1067,,,,,,,,,,
51,1,2,SIMM FX,1067,,,121801,1,SN5731,SN16,1126,1126,1549,1549,,
50,1,2,,1068,1,1068,,,,,,,,,,
51,1,2,,1068,,,121002,1,SN16,SN2770,110,110,701,701,,
50,1,2,,1069,1,1069,,,,,,,,,,
51,1,2,,1069,,,111006,1,SN655,SN16,948,948,1506,1506,,
50,1,2,,1070,1,1070,,,,,,,,,,
51,1,2,,1070,,,111006,1,SN16,SN655,330,330,931,931,,
50,1,2,,1071,1,1071,,,,,,,,,,
51,1,2,,1071,,,122003,1,SN16,SN7125,249,249,747,747,,
50,1,2,,1072,1,1072,,,,,,,,,,
51,1,2,,1072,,,122003,1,SN7125,SN7125,760,760,1107,1107,,
50,1,2,,1073,1,1073,,,,,,,,,,
51,1,2,,1073,,,111002,1,SN16,SN6377,133,133,723,723,,
50,1,2,,1074,1,1074,,,,,,,,,,
51,1,2,,1074,,,122003,1,SN7125,SN16,1121,1121,1519,1519,,
50,1,2,,1075,1,1075,,,,,,,,,,
51,1,2,,1075,,,120808,1,SN16,SN6144,717,717,1209,1209,,
50,1,2,,1076,1,1076,,,,,,,,,,
51,1,2,,1076,,,111307,1,SN6228,SN16,594,594,1179,1179,,
50,1,2,,1077,1,1077,,,,,,,,,,
51,1,2,,1077,,,120311,1,SN5943,SN16,995,995,1454,1454,,
50,1,2,,1078,1,1078,,,,,,,,,,
51,1,2,,1078,,,120311,1,SN16,SN5943,344,344,974,974,,
50,1,2,,1079,1,1079,,,,,,,,,,
51,1,2,,1079,,,121008,1,SN16,SN2770,340,340,925,925,,
50,1,2,,1080,1,1080,,,,,,,,,,
51,1,2,,1080,,,121008,1,SN2770,SN16,949,949,1567,1567,,
50,1,2,,1081,1,1081,,,,,,,,,,
51,1,2,,1081,,,112101,1,SN16,SN6542,244,244,891,891,,
50,1,2,,1082,1,1082,,,,,,,,,,
51,1,2,,1082,,,120615,1,SN16,SN503,390,390,1005,1005,,
50,1,2,,1083,1,1083,,,,,,,,,,
51,1,2,,1083,,,110508,1,SN16,SN16,715,715,1173,1173,,
50,1,2,,1084,1,1084,,,,,,,,,,
51,1,2,,1084,,,120304,1,SN16,SN5943,247,247,823,823,,
50,1,2,,1085,1,1085,,,,,,,,,,
51,1,2,,1085,,,120304,1,SN5943,SN16,840,840,1234,1234,,
50,1,2,,1086,1,1086,,,,,,,,,,
51,1,2,,1086,,,120601,1,SN16,SN1496,85,85,720,720,,
50,1,2,,1087,1,1087,,,,,,,,,,
51,1,2,,1087,,,110603,1,SN5475,SN16,915,915,1400,1400,,
50,1,2,,1088,1,1088,,,,,,,,,,
51,1,2,,1088,,,110603,1,SN16,SN5475,256,256,901,901,,
