record type,booking id,service type,type,trip id,block number,direction num,direction name,route id,route variant,distance,comment id,field13,field14,field15,field16,field17,field18,field19,field20,field21,field22,field23
11,1,1,3,1164026346,125,,,,,0.0,,,12720,13980,SN16,SN16,,1000000,,0,0,1164026346
11,1,1,0,357861178,125,0,OUTBOUND,203,C,2766.,,203,13980,18060,SN16,SN16,,1000000,203,0,0,357861178
20,1,1,0,357861178,125,0,OUTBOUND,203,C,0.0,,4058,13980,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,257.9,,3681,14280,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,249.7,,2579,14580,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,316.7,,2558,14940,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,230.2,,2506,15540,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,265.6,,1776,16080,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,256.7,,775,16380,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,318.6,,765,16740,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,318.5,,1563,17100,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,251.7,,1586,17580,,,,,,,,,
20,1,1,0,357861178,125,0,OUTBOUND,203,C,300.6,,1571,18060,,,,,,,,,
11,1,1,0,357861229,125,1,INBOUND,203,B,3309.,,203,19140,24000,SN16,SN16,,1000000,203,0,0,357861229
20,1,1,0,357861229,125,1,INBOUND,203,B,0.0,,1571,19140,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,362.5,,1572,19380,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,121.1,,1587,19860,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,253.8,,1564,20400,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,340.5,,766,20820,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,223.2,,776,21240,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,337.9,,2879,21660,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,391.6,,2572,22260,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,301.9,,2559,22740,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,286.0,,2580,23100,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,500.8,,5164,23400,,,,,,,,,
20,1,1,0,357861229,125,1,INBOUND,203,B,190.0,,5943,24000,,,,,,,,,
11,1,1,0,357861185,125,0,OUTBOUND,203,D,2766.,,203,25560,31080,SN16,SN16,,1000000,203,0,0,357861185
20,1,1,0,357861185,125,0,OUTBOUND,203,D,0.0,,5943,25560,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,257.9,,3681,26340,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,249.7,,2579,26760,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,316.7,,2558,27180,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,230.2,,2506,27840,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,265.6,,1776,28560,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,256.7,,775,28980,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,318.6,,765,29460,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,318.5,,1563,29940,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,251.7,,1586,30540,,,,,,,,,
20,1,1,0,357861185,125,0,OUTBOUND,203,D,300.6,,1571,31080,,,,,,,,,
11,1,1,0,357861237,125,1,INBOUND,203,B,3309.,,203,31860,37620,SN16,SN16,,1000000,203,0,0,357861237
20,1,1,0,357861237,125,1,INBOUND,203,B,0.0,,1571,31860,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,362.5,,1572,32100,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,121.1,,1587,32700,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,253.8,,1564,33360,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,340.5,,766,33900,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,223.2,,776,34440,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,337.9,,2879,34920,,,,,,,,,
20,1,1,0,357861237,125,1,INBOUND,203,B,391.6,,2572,35640,,,,,,,,,
